material,import_reliance_pct,import_reliance_numeric,top_producer,top_producer_share_pct,us_production_exists,short_term_category,medium_term_category,primary_use,supply_risk_score,strategic_alignment_score,production_feasibility_score,composite_score,rank
Rare Earths,>95,95.0,China,70,True,Critical,Critical,Magnet,8.6,10.0,7.0,8.84,1
Gallium,100,100.0,China,98,False,Critical,Critical,Semiconductor,9.9,10.0,4.0,8.76,2
Graphite,100,100.0,China,77,False,Critical,Critical,Battery,9.1,10.0,4.0,8.44,3
Platinum Group,83,83.0,South Africa,72,True,Near-Critical,Critical,Fuel Cell,8.0,8.5,7.0,8.0,4
Cobalt,67,67.0,DRC,74,False,Critical,Critical,Battery,7.3,10.0,4.0,7.72,5
Nickel,49,49.0,Indonesia,49,True,Near-Critical,Critical,Battery,5.4,8.5,7.0,6.96,6
Lithium,>25,25.0,Australia,47,True,Near-Critical,Critical,Battery,4.1,8.5,7.0,6.44,7
Tungsten,>50,50.0,China,82,True,Not-Evaluated,Not-Evaluated,Defense,6.8,5.0,7.0,6.12,8
Zinc,77,77.0,China,33,True,Not-Evaluated,Not-Evaluated,Galvanizing,6.2,5.0,7.0,5.88,9
Manganese,100,100.0,South Africa,37,False,Not-Evaluated,Not-Evaluated,Battery,7.5,5.0,4.0,5.8,10
Vanadium,58,58.0,China,67,False,Not-Evaluated,Not-Evaluated,Grid Storage,6.6,5.0,4.0,5.44,11
Copper,46,46.0,Chile,27,True,Not-Critical,Near-Critical,EV/Grid,4.4,5.5,7.0,5.36,12
Tin,74,74.0,China,31,False,Not-Evaluated,Not-Evaluated,Electronics,5.9,5.0,4.0,5.16,13
